year,month,county,reporting_unit,election_type,office,party,candidate,total_votes,votes
2020,APRIL,ADAMS,TOWN OF ADAMS WARDS 1-3,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,JILL J. KAROFSKY,328,142
2020,APRIL,ADAMS,TOWN OF BIG FLATS WARDS 1-2,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,JILL J. KAROFSKY,220,113
2020,APRIL,ADAMS,TOWN OF COLBURN WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,JILL J. KAROFSKY,65,27
2020,APRIL,ADAMS,TOWN OF DELL PRAIRIE WARDS 1-3,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,JILL J. KAROFSKY,370,195
2020,APRIL,ADAMS,TOWN OF EASTON WARDS 1-2,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,JILL J. KAROFSKY,275,122
2020,APRIL,ADAMS,TOWN OF JACKSON WARDS 1-2,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,JILL J. KAROFSKY,333,156
2020,APRIL,ADAMS,TOWN OF LEOLA WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,JILL J. KAROFSKY,68,18
2020,APRIL,ADAMS,TOWN OF LINCOLN WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,JILL J. KAROFSKY,117,57
2020,APRIL,ADAMS,TOWN OF MONROE WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,JILL J. KAROFSKY,150,71
2020,APRIL,ADAMS,TOWN OF NEW CHESTER WARDS 1-3,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,JILL J. KAROFSKY,191,89
2020,APRIL,ADAMS,TOWN OF NEW HAVEN WARD 1,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,JILL J. KAROFSKY,220,106
2020,APRIL,ADAMS,TOWN OF PRESTON WARDS 1-2,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,JILL J. KAROFSKY,381,199
2020,APRIL,ADAMS,TOWN OF QUINCY WARDS 1-3,SPRING GENERAL,JUSTICE OF THE SUPREME COURT,NONPARTISAN,JILL J. KAROFSKY,328,164
